x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,67-108-246,67-108-246,x,x,x,x,67-108-246,67-108-246,x,x,x,x,x,x
x,x,x,x,x,x,67-108-246,67-108-246,x,x,x,x,67-108-246,67-108-246,x,x,x,x,x,x
x,x,x,x,x,x,67-108-246,67-108-246,x,x,x,x,67-108-246,67-108-246,x,x,x,x,x,x
x,x,x,x,x,x,67-108-246,67-108-246,x,x,x,x,67-108-246,67-108-246,x,x,x,x,x,x
x,x,x,x,x,x,67-108-246,67-108-247,x,x,x,x,67-108-246,67-108-246,x,x,x,x,x,x
x,x,x,x,x,x,67-108-246,67-108-246,67-108-246,67-108-246,67-108-246,67-108-246,67-108-246,67-108-246,x,x,x,x,x,x
x,x,x,x,x,67-108-246,67-108-246,67-108-247,67-108-248,67-108-249,67-108-250,67-108-251,67-108-246,67-108-246,67-108-246,x,x,x,x,x
x,x,x,x,x,67-108-246,67-108-246,67-108-246,67-108-246,67-108-246,67-108-246,67-108-246,67-108-246,67-108-246,67-108-246,x,x,x,x,x
